frameNo	startTime	endTime	dialogue	chunk
1	00:00:07,142	00:00:09,209	$That's it. Get it right to the top.	0
2	00:00:09,311	00:00:12,112	$Steady. Steady.	0
3	00:00:46,915	00:00:48,081	$Up she goes.	0
4	00:00:48,183	00:00:50,817	$Hey, come on. Put your$back into it, huh?	0
5	00:00:52,087	00:00:53,887	$Here you are, son.	1
6	00:00:55,924	00:00:59,760	$- Oh, gentlemen, please.$- To my right.	1
7	00:00:59,862	00:01:01,895	$And you lot, come on.$Come on, get it moving.	1
8	00:01:01,997	00:01:04,397	$Come on, come on.	1
9	00:03:47,873	00:03:51,808	$In all my days I've never seen$a man swing an ax like that.	4
10	00:03:51,910	00:03:55,412	$How many men did it$take to cut you down?	4
11	00:03:55,514	00:03:57,547	$Just one.	4
12	00:03:59,218	00:04:01,485	$He must have been some kind of monster.	4
13	00:04:03,522	00:04:04,821	$He was a woman.	4
14	00:04:46,165	00:04:49,266	$I think some of the men$are a bit afraid of you.	5
15	00:04:49,368	00:04:51,368	$I'm used to it.	5
16	00:04:52,938	00:04:55,572	$When I found you, I thought$you'd been dead for days.	5
17	00:04:57,042	00:04:58,708	$The way you were stinking already	5
18	00:04:58,810	00:05:00,510	$and you had bugs all over you	5
19	00:05:00,612	00:05:03,280	$and bone was coming through right there.	6
20	00:05:06,651	00:05:09,186	$I was gonna give you a proper$burial and then you coughed.	6
21	00:05:09,288	00:05:11,588	$Oh, nearly shit myself.	6
22	00:05:11,690	00:05:13,390	$I reckoned you were gonna die	6
23	00:05:13,492	00:05:15,892	$by the time I loaded you on$the wagon, but you didn't.	6
24	00:05:15,994	00:05:19,062	$Now, I reckoned you'd die a dozen$more times over the next few days,	6
25	00:05:19,164	00:05:21,565	$but you didn't. What kept you going?	6
26	00:05:25,137	00:05:26,703	$Hate.	6
27	00:05:28,173	00:05:30,873	$No, there's a reason you're still here.	6
28	00:05:30,976	00:05:33,843	$Aye, there's a reason. I'm a big$fucker and I'm tough to kill.	6
29	00:05:33,945	00:05:36,413	$No, a reason.	6
30	00:05:36,515	00:05:38,648	$Gods aren't done with you yet.	6
31	00:05:40,719	00:05:42,785	$I've heard that before.	6
32	00:05:42,887	00:05:45,088	$Man was talking about a$different god, though.	6
33	00:05:45,190	00:05:47,324	$Well, maybe he was right.	6
34	00:05:47,426	00:05:49,025	$I don't know much about the gods.	6
35	00:05:49,128	00:05:51,428	$You're in the wrong line of work.	6
36	00:05:51,530	00:05:53,430	$Oh, there's plenty of$pious sons of bitches	7
37	00:05:53,532	00:05:56,032	$who think they know the$word of god or gods.	7
38	00:05:56,135	00:05:58,602	$I don't. I don't even$know their real names.	7
39	00:05:58,703	00:06:03,106	$Maybe it is the Seven. Or$maybe it's the old gods.	7
40	00:06:03,208	00:06:05,108	$Or maybe it's the Lord of Light.	7
41	00:06:05,210	00:06:07,944	$Or maybe they're all the$same fucking thing.	7
42	00:06:08,046	00:06:09,646	$I don't know.	7
43	00:06:09,748	00:06:11,748	$What matters, I believe,	7
44	00:06:11,850	00:06:14,851	$is that there's something$greater than us.	7
45	00:06:14,953	00:06:19,789	$And whatever it is, it's got$plans for Sandor Clegane.	7
46	00:06:23,162	00:06:25,795	$You didn't know me back in my time.	7
47	00:06:27,533	00:06:29,866	$You don't know the things I've done.	7
48	00:06:31,537	00:06:33,603	$I've heard stories.	7
49	00:06:35,340	00:06:37,674	$If the gods are real...	7
50	00:06:39,611	00:06:42,011	$why haven't they punished me?	7
51	00:06:44,283	00:06:46,049	$They have.	8
52	00:07:00,699	00:07:02,965	$Your Grace.	8
53	00:07:03,068	00:07:05,134	$What are we reading today?	8
54	00:07:05,237	00:07:07,804	$The Book of the Mother, Your Holiness.	8
55	00:07:07,906	00:07:09,906	$Chapter three, verse 12.	8
56	00:07:10,780	00:07:14,143	"$Ah, ""As water rounds the$stones, smoothing..."""	8
57	00:07:14,246	00:07:17,847	"$""Smoothing what was jagged,$so does a woman's love"	8
58	00:07:17,949	00:07:19,982	$calm a man's brute nature.	8
59	00:07:20,085	00:07:22,952	$A wife salves her husband's wounds,	8
60	00:07:23,054	00:07:25,522	"$a mother sings her son to sleep."""	8
61	00:07:25,624	00:07:28,658	$You learn quickly.	8
62	00:07:28,760	00:07:32,696	$There are some who know every$verse of the sacred text,	8
63	00:07:32,797	00:07:35,798	$but don't have a drop of the$Mother's mercy in their blood	9
64	00:07:35,900	00:07:39,336	$and savages who can't read at all	9
65	00:07:39,438	00:07:42,171	$who understand the Father's wisdom.	9
66	00:07:44,075	00:07:47,210	$For years I pretended	9
67	00:07:47,312	00:07:49,446	$to love the poor, the afflicted.	9
68	00:07:49,548	00:07:53,950	$I had pity for them, but$I never loved them.	9
69	00:07:54,052	00:07:56,819	$They disgusted me.	9
70	00:07:56,921	00:07:59,155	$They are hard to love.	9
71	00:07:59,258	00:08:02,392	$The poor disgust us because they are us,	9
72	00:08:02,494	00:08:04,827	$shorn of our illusions.	9
73	00:08:04,929	00:08:08,431	$They show us what we'd look$like without our fine clothes.	9
74	00:08:08,533	00:08:11,200	$How'd we smell without perfume.	9
75	00:08:12,704	00:08:16,339	$Can I ask you about a personal matter?	9
76	00:08:16,441	00:08:18,107	$Of course.	9
77	00:08:20,879	00:08:24,281	$The king mentioned that$since your reunion,	10
78	00:08:24,383	00:08:26,583	$you haven't joined him$in the marriage bed.	10
79	00:08:28,320	00:08:29,320	$No.	10
80	00:08:29,421	00:08:32,255	$You have a duty, Your Grace.	10
81	00:08:32,357	00:08:35,759	$To your husband, your$king, your country,	10
82	00:08:35,860	00:08:38,194	$to the gods themselves.	10
83	00:08:38,297	00:08:40,397	$It's just...	10
84	00:08:40,499	00:08:44,734	$the desires that once$drove me no longer do.	10
85	00:08:45,970	00:08:48,538	$Congress does not require desire	10
86	00:08:48,640	00:08:52,909	$on the woman's part, only patience.	10
87	00:08:53,011	00:08:55,878	$The king must have an heir	10
88	00:08:55,980	00:08:58,615	$if we are to continue our good work.	10
89	00:08:59,918	00:09:01,384	$Forgive me.	10
90	00:09:01,486	00:09:04,120	$Sometimes the true path is hard to find.	10
91	00:09:04,222	00:09:06,356	$Hard to find	10
92	00:09:06,458	00:09:09,359	$and harder still to walk upon.	10
93	00:09:09,461	00:09:11,928	$But you've made great progress.	10
94	00:09:13,465	00:09:16,833	$I only pray your grandmother$follows your lead.	11
95	00:09:19,170	00:09:20,737	$My grandmother?	11
96	00:09:20,839	00:09:22,238	$Yes.	11
97	00:09:22,341	00:09:25,575	$The Queen of Thorns is$a remarkable woman,	11
98	00:09:25,677	00:09:27,510	$a strong woman,	11
99	00:09:27,612	00:09:29,346	$and an unrepentant sinner.	11
100	00:09:29,448	00:09:32,315	$You must teach her the new way	11
101	00:09:32,417	00:09:34,050	$as she taught you the old.	11
102	00:09:34,152	00:09:37,153	$Or I fear for her safety,	11
103	00:09:37,255	00:09:38,888	$body and soul.	11
104	00:09:44,229	00:09:46,429	$Does it move or talk?	11
105	00:09:46,531	00:09:48,998	$I want to speak with you alone.	11
106	00:09:49,100	00:09:52,402	$Septa Unella has been my$true friend and counselor.	11
107	00:09:52,504	00:09:55,171	$Oh, this is madness!	11
108	00:10:01,413	00:10:04,080	$You're not in your$sanctuary now, my dear.	12
109	00:10:04,182	00:10:07,917	$All I have to do is whistle and my men$will stroll in here and bash you about...	12
110	00:10:08,019	00:10:10,119	$- Grandmother.$- Until I tell them to stop.	12
111	00:10:10,221	00:10:12,622	$If I tell them to stop.	12
112	00:10:12,724	00:10:16,125	$- You could use a good bashing.$- Grandmother, please.	12
113	00:10:16,227	00:10:17,761	$What have they done to you?	12
114	00:10:17,863	00:10:19,662	$You marched against the High Sparrow,	12
115	00:10:19,765	00:10:21,664	$- against the Faith.$- We marched for you.	12
116	00:10:21,767	00:10:24,501	$The gods could have punished you$and Father, but they didn't.	12
