frameNo	startTime	endTime	dialogue	chunk
-1	00:02:05,724	00:02:07,892	$﻿6$- Man: <i>Rider approaching!</i>$- Man ♪2: <i>Open the gate!</i>	2
7	00:02:07,927	00:02:09,928	$( Creaking )	2
8	00:02:12,465	00:02:14,432	$<i>( Horses neighing )</i>	2
9	00:02:35,956	00:02:39,226	$- Why, it's the Prince of Winterfell.$- ( Men laugh )	2
10	00:02:39,260	00:02:42,663	$- Envy isn't attractive.$- What envy?	2
11	00:02:42,698	00:02:45,366	$You should be proud$of your brother's achievement.	3
12	00:02:45,400	00:02:48,535	$I took the great castle$of Winterfell with 20 men.	3
13	00:02:48,569	00:02:49,936	$You're a great warrior.	3
14	00:02:49,971	00:02:52,305	$I saw the bodies$above your gates.	3
15	00:02:52,339	00:02:54,240	$Which one gave you$the tougher fight,	3
16	00:02:54,274	00:02:55,874	$the cripple or the six-year-old?	3
17	00:02:55,909	00:02:58,210	$( Men laugh )	3
18	00:02:58,244	00:03:00,512	$I treated the Stark$boys with honor	3
19	00:03:00,546	00:03:02,480	$and they repaid me$with treachery.	3
20	00:03:02,515	00:03:05,650	$You treated them with honor$by butchering them?	3
21	00:03:05,685	00:03:07,486	$Before I had to kill them,$I treated them...	3
22	00:03:07,520	00:03:09,788	$You seized their home,$as is your right.	3
23	00:03:09,823	00:03:12,558	$- We're Ironborn; We take what we need.$- Exactly.	3
24	00:03:12,592	00:03:15,594	$Then you made them prisoners in$their home and they ran away.	3
25	00:03:15,629	00:03:17,997	$Is that treachery?	3
26	00:03:18,032	00:03:20,133	$I'd call it bravery.	3
27	00:03:20,167	00:03:21,668	$They made me a promise...	3
28	00:03:21,702	00:03:23,637	$Your little boy prisoners$made you a promise	3
29	00:03:23,671	00:03:26,106	$and you got mad$when they broke it?	3
30	00:03:26,140	00:03:27,840	$Are you the dumbest cunt alive?	3
31	00:03:27,875	00:03:29,876	$- Don't call me a...$- A cunt.	3
32	00:03:29,910	00:03:34,079	$A dumb cunt who killed$the only two Starks in Winterfell.	3
33	00:03:34,113	00:03:36,381	$You know how valuable$those boys were?	3
34	00:03:36,415	00:03:39,050	$If I hadn't killed them, the$Northerners would think me weak.	4
35	00:03:39,085	00:03:42,220	$You are weak. And you're stupid.	4
36	00:03:42,254	00:03:44,656	$I'm warning you.	4
37	00:03:44,690	00:03:46,424	$Go on, then,	4
38	00:03:46,458	00:03:48,259	$warn me.	4
39	00:03:52,097	00:03:53,832	$You haven't brought enough men.	4
40	00:03:53,866	00:03:56,267	$How am I supposed to defend$Winterfell with just this lot?	4
41	00:03:56,302	00:03:59,370	$You're not. I've come to bring$you home.	4
42	00:03:59,405	00:04:01,905	$- Father wants a word.$- Is this a joke?	4
43	00:04:01,940	00:04:03,607	$Winterfell is the heart$of the North.	4
44	00:04:03,641	00:04:07,544	$Aye, it is, hundreds of miles$from the sea.	4
45	00:04:07,579	00:04:09,179	$We're islanders, baby brother.	4
