frameNo	startTime	endTime	dialogue	chunk
1	00:00:00,993	00:00:03,128	$Robb: Tomorrow you'll ride south$to the Stormlands.	0
2	00:00:03,163	00:00:05,364	$I need you to negotiate$with Renly Baratheon.	0
3	00:00:05,399	00:00:08,401	$If Renly sides with us,$we'll outnumber them two to one.	0
4	00:00:08,435	00:00:12,572	$I am glad your new friend was able$to accompany you to the capital.	0
5	00:00:12,606	00:00:16,343	$But I am very good at keeping$secrets from my good friends.	0
6	00:00:16,378	00:00:18,245	$Your discretion is legendary.	0
7	00:00:18,279	00:00:20,781	$You in command here?$I have a royal warrant	0
8	00:00:20,815	00:00:23,616	$for one of these gutter rats$you're transporting.	0
9	00:00:25,118	00:00:26,552	$We're looking for$a boy named Gendry.	0
10	00:00:26,586	00:00:29,054	$We'll be back with more men.	0
11	00:00:29,088	00:00:31,923	$This is Gilly.$She's one of Craster's daughters.	0
12	00:00:31,958	00:00:34,259	$We have to take her$with us when we leave.	0
13	00:00:34,293	00:00:36,327	$I'm going to have a baby.$If it's a boy...	0
14	00:00:36,362	00:00:37,595	$If it's a boy, what?	0
15	00:00:38,864	00:00:40,765	$Seeing as you betrayed$the last Hand of the King,	0
16	00:00:40,799	00:00:43,635	$well, I just wouldn't feel$safe with you lurking about.	0
17	00:00:43,669	00:00:45,603	$- The queen herself--$- The queen regent.	0
18	00:00:45,638	00:00:48,006	$And you're a fool to believe$she is your friend.	0
19	00:00:48,041	00:00:49,475	$<i>I hope you enjoy the Wall.</i>	0
20	00:00:49,510	00:00:51,844	$I have friends at court!	0
21	00:00:51,878	00:00:53,179	$To the new Commander.	0
22	00:00:53,213	00:00:54,346	$I need to get to Pyke.	0
23	00:00:54,380	00:00:56,548	$I'm heading that way,$Lord Greyjoy.	0
24	00:00:56,582	00:00:59,485	$Balon: <i>I destroy Robb Stark's</i>$<i>enemies for him</i>	0
25	00:00:59,519	00:01:02,354	$and he will make me king of$the Iron Islands once again.	0
26	00:01:02,389	00:01:05,158	$- I will lead the attack myself.$- Oh, you will?	0
27	00:01:05,192	00:01:07,426	$I'm your son, who else?$Yara?	0
28	00:01:07,461	00:01:10,196	$- So good to see you, brother.$- She can't lead an attack.	0
29	00:01:10,230	00:01:12,899	$She's commanded men.$She's killed men.	0
30	00:01:12,933	00:01:16,569	$No man gives me a crown.$I will take my crown.	0
31	00:01:16,604	00:01:19,339	$<i>( Wind howling )</i>	0
32	00:01:19,373	00:01:21,541	$( Baby fussing )	0
33	00:01:21,575	00:01:24,811	$<i>( Baby crying )</i>	0
34	00:01:28,348	00:01:29,815	$( Gasps )	0
35	00:01:36,689	00:01:39,223	$<i>( Theme music playing )</i>	0
36	00:01:39,248	00:01:43,248	$<font color=#00FF00>♪ Game of Thrones 2x03 ♪</font>$<font color=#00FFFF>What Is Dead May Never Die</font>$Original Air Date on April 15, 2012$<font color=#00FFFF>visit tvshowslatest.blogspot.com to download</font>	0
37	00:01:43,273	00:01:47,273	"$== sync, corrected by <font color=""#00ff00"">elderman</font> ==$<font color=#00FFFF>visit tvshowslatest.blogspot.com to download</font>"	0
38	00:01:47,298	00:03:17,017	$♪	1
39	00:03:24,400	00:03:26,867	$( Grunts )	1
40	00:03:26,903	00:03:30,472	$Out, all of you.	1
41	00:03:31,641	00:03:35,311	$Bastard's been meddling$where he shouldn't!	1
42	00:03:35,312	00:03:37,913	$I want you and your men	1
43	00:03:39,123	00:03:41,724	$gone.	1
44	00:03:41,758	00:03:45,127	$And you will make$this right.	1
45	00:03:45,161	00:03:47,529	$( Spits )	1
46	00:03:47,564	00:03:48,755	$Wait outside.	1
47	00:03:48,757	00:03:50,725	$- Lord Commander.$- Now!	1
48	00:04:11,586	00:04:14,454	$- Lord Commander.$- Leave us.	2
49	00:04:15,303	00:04:17,605	$What did you do?	2
50	00:04:17,639	00:04:19,606	$I followed him.	2
51	00:04:19,641	00:04:22,076	$He took the baby$into the woods, the newborn.	2
52	00:04:22,110	00:04:24,044	$What business is that$of yours?	2
53	00:04:24,079	00:04:25,646	$No, you don't understand.	2
54	00:04:25,681	00:04:28,082	$He's killing them,$all the boys.	2
55	00:04:33,290	00:04:35,125	$You know.	2
56	00:04:38,196	00:04:42,966	$The wildlings serve$crueler Gods than you or I.	2
57	00:04:44,536	00:04:48,105	$Those boys$are Craster's offerings.	2
58	00:04:48,139	00:04:49,640	$Offerings?	2
59	00:04:49,674	00:04:52,410	$He's murdering his own children.$He's a monster.	2
60	00:04:52,444	00:04:54,479	$Aye, many a time that monster$has been the difference	2
61	00:04:54,513	00:04:57,048	$between life and death$for our Rangers.	2
62	00:04:57,082	00:04:59,417	$Your Uncle among them.	2
63	00:04:59,451	00:05:02,954	$We have other wars$to fight out there.	2
64	00:05:02,988	00:05:07,358	$Like it or not,$we need men like Craster.	2
65	00:05:11,997	00:05:13,932	$I...	2
66	00:05:13,966	00:05:15,667	$I saw it.	2
67	00:05:18,471	00:05:21,606	$I saw...	2
68	00:05:21,640	00:05:24,476	$Something take$that child.	2
69	00:05:24,510	00:05:26,645	$Yeah.	2
70	00:05:26,679	00:05:28,847	$Whatever it was,	2
71	00:05:28,882	00:05:31,217	$I daresay$you'll see it again.	2
72	00:05:33,687	00:05:36,655	$Now ready my horse.	2
73	00:05:36,690	00:05:38,991	$We leave at dawn.	2
74	00:05:43,964	00:05:46,466	$Don't lose it again.	2
75	00:05:53,674	00:05:56,476	$- <i>( Men shouting )</i>$- ( Birds squawking )	2
76	00:05:58,913	00:06:02,049	$<i>( Horse whinnies )</i>	3
77	00:06:10,292	00:06:12,461	$Gilly.	3
78	00:06:14,898	00:06:17,133	$You're leaving.	3
79	00:06:17,167	00:06:21,537	$I-- I wanted$to give you something.	3
80	00:06:24,775	00:06:27,276	$It belonged$to my mother.	3
81	00:06:28,812	00:06:31,447	$- I can't take it.$- Please.	3
82	00:06:31,482	00:06:33,282	$I want you to.	3
83	00:06:36,220	00:06:38,821	$My mother used it$for sewing.	3
84	00:06:38,856	00:06:42,024	$She'd let me sit with her$in her chamber while she sewed	3
85	00:06:42,059	00:06:44,827	$and I'd read to her.	3
86	00:06:47,531	00:06:49,999	$My father put a stop$to it when he found out.	3
87	00:06:51,568	00:06:54,704	$It's the only thing$I have of hers.	3
88	00:06:54,738	00:06:57,774	$She gave it to me$before I left for the Wall.	3
