frameNo	startTime	endTime	dialogue
-1	00:00:05,885	00:00:09,885	$﻿1$<i><font color=#FFFF00>♪ Theme music playing  ♪</font></i>
2	00:00:09,909	00:00:13,909	$<font color=#00FF00>♪ Game of Thrones 5x08 ♪</font>$<font color=#00FFFF>Hardhome</font>$Original Air Date on May 31, 2015
3	00:00:13,933	00:00:15,933	$== sync, corrected by <font color=#00FF00>elderman</font> ==$<font color=#00FFFF>@elder_man</font>
4	00:00:15,957	00:00:17,957	$♪  ♪
6	00:01:56,896	00:01:58,530	$<i>( bird screeches )</i>
7	00:02:04,136	00:02:06,805	$Your Grace,$I want to say--
8	00:02:06,839	00:02:08,773	$You will not speak.
9	00:02:10,709	00:02:12,710	$How do I know you are$who you say you are?
10	00:02:12,745	00:02:15,547	$If only I were otherwise.
11	00:02:15,581	00:02:18,349	$If you are Tyrion Lannister,$why shouldn't I kill you
12	00:02:18,384	00:02:20,685	$to pay your family back$for what it did to mine?
13	00:02:20,719	00:02:23,388	$You want revenge$against the Lannisters?
14	00:02:23,456	00:02:25,790	$I killed my mother$Joanna Lannister
15	00:02:25,825	00:02:27,659	$on the day I was born.
16	00:02:27,693	00:02:31,229	$I killed my father Tywin Lannister with$a bolt to the heart.
17	00:02:31,263	00:02:33,898	$I am the greatest$Lannister killer of our time.
18	00:02:33,933	00:02:36,067	$So I should welcome you$into my service
19	00:02:36,101	00:02:38,336	$because you murdered members$of your own family?
20	00:02:39,572	00:02:42,106	$Into your service?
21	00:02:42,141	00:02:45,076	$Your Grace, we have$only just met.
22	00:02:45,110	00:02:47,445	$It's too soon to know$if you deserve my service.
23	00:02:47,513	00:02:50,315	$If you'd rather return$to the fighting pits,
24	00:02:50,349	00:02:52,584	$just say the word.
25	00:02:54,720	00:02:57,255	$When I was a young man,$I heard a story
26	00:02:57,289	00:03:00,758	$about a baby born$during the worst storm in living memory.
27	00:03:00,793	00:03:02,794	$She had no wealth,$no lands, no army,
28	00:03:02,828	00:03:06,231	$<i>only a name</i>$<i>and a handful of supporters,</i>
29	00:03:06,265	00:03:09,767	$most of whom probably thought they$could use that name to benefit themselves.
30	00:03:09,802	00:03:12,370	$They kept her alive,$moving her from place to place,
31	00:03:12,404	00:03:15,573	$<i>often hours ahead of the men</i>$<i>who'd been sent to kill her.</i>
32	00:03:15,608	00:03:18,910	$<i>She was eventually sold off to</i>$<i>some warlord on the edge of the world</i>
33	00:03:18,978	00:03:21,179	$<i>and that appeared</i>$<i>to be that.</i>
34	00:03:21,213	00:03:23,214	$<i>And then</i>$<i>a few years later,</i>
35	00:03:23,249	00:03:25,550	$the most well-informed$person I knew
36	00:03:25,618	00:03:28,453	$told me that this girl$without wealth, lands, or armies
37	00:03:28,487	00:03:31,689	$had somehow acquired all three$in a very short span of time,
38	00:03:31,724	00:03:33,725	$along with three dragons.
39	00:03:33,759	00:03:35,793	$<i>He thought</i>$<i>she was our best,</i>
40	00:03:35,828	00:03:38,730	$<i>last chance to build</i>$<i>a better world.</i>
41	00:03:40,165	00:03:42,867	$I thought you were worth$meeting at the very least.
42	00:03:42,902	00:03:44,369	$And why are you$worth meeting?
43	00:03:44,403	00:03:46,204	$Why should I spend$my time listening to you?
44	00:03:46,238	00:03:49,340	$Because you cannot build$a better world on your own.
45	00:03:49,375	00:03:52,777	$You have no one at your side who$understands the land you want to rule.
46	00:03:52,811	00:03:54,812	$The strengths$and weaknesses of the houses
47	00:03:54,847	00:03:56,147	$<i>that will either</i>$<i>join or oppose you.</i>
48	00:03:56,181	00:03:59,183	$I will have$a very large army
49	00:03:59,218	00:04:00,785	$and very large dragons.
50	00:04:00,819	00:04:04,389	$Killing and politics$aren't always the same thing.
51	00:04:04,423	00:04:06,357	$When I served$as Hand of the King,
52	00:04:06,392	00:04:09,027	$I did quite well with the latter$considering the king in question
53	00:04:09,061	00:04:11,362	$preferred torturing animals$to leading his people.
54	00:04:12,598	00:04:14,465	$I could do$an even better job
55	00:04:14,500	00:04:16,768	$advising a ruler$worth the name.
56	00:04:16,802	00:04:19,170	$<i>If that is indeed</i>$<i>what you are.</i>
57	00:04:19,204	00:04:21,472	$So you want$to advise me?
58	00:04:23,609	00:04:25,710	$Very well.
59	00:04:27,112	00:04:28,646	$What would you$have me do with him?
60	00:04:30,382	00:04:34,085	$<i>I swore I would kill him</i>$<i>if he ever returned.</i>
61	00:04:34,119	00:04:36,020	$I know.
62	00:04:39,458	00:04:43,394	$Why should the people$trust a queen who can't keep her promises?
63	00:04:46,465	00:04:49,200	$Whomever Ser Jorah$was when he started informing on you,
64	00:04:49,234	00:04:52,303	$he is no longer that man.
65	00:04:52,338	00:04:54,372	$I can't remember$ever seeing a sane man
66	00:04:54,473	00:04:56,774	$as devoted to anything$as he is to serving you.
67	00:04:56,809	00:04:59,877	$<i>He claims he would kill</i>$<i>for you and die for you</i>
68	00:04:59,912	00:05:02,614	$<i>and nothing I ever witnessed</i>$<i>gives me reason to doubt him.</i>
69	00:05:06,552	00:05:08,686	$And yet he did$betray you.
70	00:05:21,166	00:05:23,801	$Did he have an opportunity$to confess his betrayal?
71	00:05:23,836	00:05:26,070	$Yes.
72	00:05:26,105	00:05:28,139	$Many opportunities.
73	00:05:28,207	00:05:30,808	$Tyrion:$<i>And did he?</i>
74	00:05:30,843	00:05:35,213	$No, not until$forced to do so.
75	00:05:39,918	00:05:41,853	$He worships you.
76	00:05:41,887	00:05:44,689	$He is in love$with you, I think.
77	00:05:44,723	00:05:47,025	$<i>But he did not trust you</i>$<i>with the truth.</i>
78	00:05:47,059	00:05:48,559	$<i>An unpleasant truth</i>$<i>to be sure,</i>
79	00:05:48,627	00:05:51,062	$<i>but one of great</i>$<i>significance to you.</i>
80	00:05:51,096	00:05:54,232	$<i>He did not trust that you would</i>$<i>be wise >enough to forgive him.</i>
81	00:05:55,367	00:05:57,268	$So I should kill him?
82	00:05:58,570	00:06:00,638	$A ruler who kills$those devoted to her
83	00:06:00,673	00:06:03,374	$is not a ruler$who inspires devotion.
84	00:06:03,409	00:06:05,576	$And you're going to need$to inspire devotion,
85	00:06:05,611	00:06:09,447	$a lot of it, if you're ever going to rule$across the Narrow Sea.
86	00:06:11,083	00:06:14,352	$But you cannot have him$by your side when you do.
87	00:06:19,725	00:06:22,060	$Remove Ser Jorah$from the city.
