frameNo	startTime	endTime	dialogue
1	00:04:18,100	00:04:19,466	$Your Grace.
2	00:04:19,568	00:04:23,203	$The trial will be$getting under way soon.
3	00:04:55,721	00:04:57,120	$You got my money?
4	00:04:57,222	00:04:59,522	$Later. Go away.
5	00:05:10,254	00:05:12,088	$Grand Maester.
6	00:05:52,496	00:05:54,964	$Ser Loras Tyrell.
7	00:05:56,801	00:05:59,534	$Are you prepared to stand trial
8	00:05:59,637	00:06:03,338	$and profess your guilt or$innocence before the Seven?
9	00:06:05,943	00:06:08,343	$There'll be no need for a trial.
10	00:06:10,848	00:06:13,249	$I confess before the Seven
11	00:06:13,350	00:06:15,350	$and freely admit to my crimes.
12	00:06:16,854	00:06:19,588	$To which crimes will you be confessing?
13	00:06:20,466	00:06:22,024	$All of them.
14	00:06:23,761	00:06:25,460	$I lay with other men
15	00:06:25,562	00:06:28,998	$including the traitor Renly Baratheon.
16	00:06:32,503	00:06:35,271	$I perjured myself before the gods.
17	00:06:35,372	00:06:37,673	$I am guilty of depravity...
18	00:06:39,177	00:06:41,177	$dishonesty,
19	00:06:41,279	00:06:42,744	$profligacy,
20	00:06:42,847	00:06:45,714	$and arrogance.
21	00:06:45,817	00:06:47,249	$I see that now.
22	00:06:49,620	00:06:51,854	$I humble myself before the Seven
23	00:06:51,956	00:06:55,357	$and accept whatever punishment$the gods deem just.
24	00:06:57,394	00:07:02,264	$The gods' judgment is fierce,
25	00:07:02,366	00:07:04,900	$but also fair.
26	00:07:05,002	00:07:08,370	$The Warrior punishes those$who believe themselves
27	00:07:08,472	00:07:10,739	$beyond the reach of justice.
28	00:07:12,243	00:07:15,311	$But the Mother shows her mercy
29	00:07:15,412	00:07:19,215	$to those who kneel before her.
30	00:07:27,258	00:07:29,959	$I take full responsibility$for my many sins
31	00:07:30,061	00:07:32,561	$and unburden myself of my desires.
32	00:07:36,033	00:07:38,968	$My only remaining wish
33	00:07:39,070	00:07:41,670	$is to devote my life to the Seven.
34	00:07:42,471	00:07:44,840	$May I be a living example of their grace
35	00:07:44,942	00:07:47,609	$for others to witness.
36	00:07:49,180	00:07:52,647	$You understand fully
37	00:07:52,750	00:07:54,583	$what this means?
38	00:07:55,031	00:07:56,185	$I do.
39	00:07:58,756	00:08:00,890	$I will abandon the Tyrell name
40	00:08:00,992	00:08:04,026	$and all that goes with it.
41	00:08:04,128	00:08:07,897	$I will renounce my lordship$and my claims on Highgarden.
42	00:08:11,535	00:08:13,769	$I will never marry
43	00:08:13,871	00:08:16,272	$and I will never father children.
44	00:08:20,700	00:08:21,810	$Brother Loras...
45	00:08:23,237	00:08:26,681	$...I ask you to dedicate$your life to the seven gods.
46	00:08:30,922	00:08:33,722	$Will you fight to defend your faith
47	00:08:33,824	00:08:36,258	$against heretics and apostates?
48	00:08:36,360	00:08:37,859	$I will.
49	00:09:07,058	00:09:08,223	$No, I can't let them...
50	00:09:08,326	00:09:11,293	$Faith is the way, Father.
51	00:09:33,851	00:09:35,017	$All right.
52	00:09:36,253	00:09:37,953	$I'm ready.
53	00:09:45,396	00:09:47,896	$I have to go. I'm...
54	00:09:47,999	00:09:49,931	$I'm late for the trial.
55	00:10:03,080	00:10:05,180	$You mutilated him.
56	00:10:05,282	00:10:07,182	$You gave me your word.
57	00:10:07,284	00:10:09,651	$And I have kept my word.
58	00:10:09,753	00:10:12,521	$Once the queen mother's$trial is concluded,
59	00:10:12,623	00:10:14,656	$Brother Loras is free to leave.
60	00:10:14,758	00:10:16,658	$And where is the queen mother?
61	00:10:16,760	00:10:20,029	$Her litter never left the Red Keep.
62	00:10:20,131	00:10:24,066	$It appears the queen mother doesn't$wish to attend her own trial.
63	00:10:26,470	00:10:29,138	$Go to the Red Keep and show her the way.
64	00:10:55,999	00:10:57,766	$Get the others.
65	00:11:39,810	00:11:41,743	$Where's the king?
66	00:11:44,715	00:11:46,648	$Elsewhere, I'm afraid.
67	00:11:46,750	00:11:48,383	$What's the meaning of this?
68	00:11:48,486	00:11:50,352	$I was told that...
69	00:11:52,022	00:11:54,123	$I have more important$things to do with my time
70	00:11:54,225	00:11:55,591	$than waste them in the presence...
71	00:11:55,692	00:11:58,360	$Please, Grand Maester. I$bear you no ill will.
72	00:11:59,830	00:12:02,164	$Please forgive me if you can.
73	00:12:33,930	00:12:36,064	$This pains me, my lord.
74	00:12:36,167	00:12:38,233	$Whatever your faults, you do not deserve
75	00:12:38,335	00:12:41,303	$to die alone in such a cold, dark place.
76	00:12:41,405	00:12:45,140	$But sometimes before we$can usher in the new,
77	00:12:45,242	00:12:49,378	$the old must be put to rest.
78	00:13:30,554	00:13:33,655	$The longer you wait, the$worse it'll be for you.
79	00:14:00,618	00:14:02,651	$What are you doing?
80	00:15:10,020	00:15:12,086	$There's something wrong.
81	00:15:12,189	00:15:14,656	$You have nothing to fear, Your Grace.
82	00:15:14,758	00:15:16,625	$The trial will begin shortly.
83	00:15:16,727	00:15:19,428	$Cersei is not here. Tommen is not here.
84	00:15:19,530	00:15:20,862	$Why do you think they're not here?
85	00:15:20,964	00:15:22,798	$If the accused is not here,
86	00:15:22,899	00:15:24,966	$she will be tried regardless.
87	00:15:25,068	00:15:27,302	$We cannot escape the$justice of the gods...
88	00:15:27,404	00:15:30,038	$Forget about the bloody gods and$listen to what I'm telling you!
89	00:15:30,140	00:15:33,575	$Cersei understands the$consequences of her absence
90	00:15:33,677	00:15:35,444	$and she is absent anyway,
91	00:15:35,546	00:15:39,414	$which means she does not intend$to suffer those consequences.
92	00:15:39,516	00:15:43,385	$The trial can wait.$We all need to leave.
93	00:16:09,179	00:16:11,279	$We all need to leave now!
94	00:16:15,919	00:16:18,687	$Loras.
95	00:16:18,789	00:16:20,955	$Stay with me.
96	00:16:33,404	00:16:36,204	$Let me through. Let me through.
97	00:16:38,074	00:16:40,375	$Get out of my way.
98	00:16:48,685	00:16:50,619	$Let us through.
99	00:18:20,076	00:18:22,110	$Confess.
100	00:18:24,280	00:18:26,247	$Confess.
101	00:18:30,587	00:18:32,587	$- No.$- Confess.
102	00:18:42,198	00:18:45,033	$Confess. It felt good.
103	00:18:45,135	00:18:48,837	$Beating me, starving me,
104	00:18:48,939	00:18:51,840	$frightening me, humiliating me.
105	00:18:54,845	00:18:58,500	$You didn't do it because you$cared about my atonement.
106	00:18:58,501	00:19:01,658	$You did it because it felt good.
107	00:19:01,659	00:19:04,023	$I understand.
108	00:19:04,024	00:19:06,454	$I do things because they feel good.
109	00:19:09,426	00:19:12,761	$I drink because it feels good.
110	00:19:12,863	00:19:16,965	$I killed my husband because it$felt good to be rid of him.
111	00:19:20,303	00:19:25,273	$I fuck my brother because it feels$good to feel him inside me.
112	00:19:25,375	00:19:27,442	$I lie about fucking my brother...
113	00:19:29,479	00:19:33,481	$because it feels good to keep our$son safe from hateful hypocrites.
114	00:19:36,286	00:19:38,053	$I killed your High Sparrow...
115	00:19:40,023	00:19:42,190	$and all his little sparrows...
116	00:19:43,860	00:19:47,128	$all his septons, all his septas,
117	00:19:47,230	00:19:50,065	$all his filthy soldiers,
118	00:19:50,166	00:19:53,367	$because it felt good to watch them burn.
119	00:19:55,205	00:19:59,040	$It felt good to imagine$their shock and their pain.
120	00:19:59,142	00:20:02,477	$No thought has ever$given me greater joy.
