frameNo	startTime	endTime	dialogue	chunk
1	00:00:05,435	00:00:08,103	$<i>(theme music playing)</i>	0
2	00:01:36,644	00:01:44,644	"$<font color=""#ec14bd"">Sync & corrections by honeybunny$www.addic7ed.com</font>"	1
3	00:01:52,242	00:01:55,176	$(wind blowing)	2
4	00:02:02,803	00:02:06,721	$<i>(wolf howling)</i>	2
5	00:02:12,396	00:02:16,648	$<i>(howling continues)</i>	2
6	00:02:22,155	00:02:27,158	$<i>(howling continues)</i>	2
7	00:02:31,465	00:02:34,082	$<i>(door rattles)</i>	3
8	00:02:37,721	00:02:41,589	$<i>(howling continues)</i>	3
9	00:02:47,097	00:02:49,314	$<i>(door rattling)</i>	3
10	00:02:49,433	00:02:52,067	$<i>(wolf whimpering)</i>	3
11	00:02:53,520	00:02:55,236	$<i>(rattling continues)</i>	3
12	00:02:58,075	00:03:01,860	$<i>(howling continues)</i>	3
13	00:03:01,945	00:03:06,081	$<i>(Ghost whimpering, howling)</i>	3
14	00:03:06,166	00:03:10,785	$<i>- (rattling continues)$- (whimpering, howling continue)</i>	3
15	00:03:25,635	00:03:27,769	$Man: <i>It's coming from the courtyard.</i>	4
16	00:03:32,943	00:03:35,276	$- <i>(Ghost howling)</i>$- Man #2: It's the Lord Commander!	4
17	00:03:48,542	00:03:50,325	$Help me get him inside.	4
18	00:04:05,092	00:04:07,008	$<i>(howling continues)</i>	4
19	00:04:14,985	00:04:16,935	$(door closes)	5
20	00:04:45,382	00:04:47,549	$Thorne did this.	5
21	00:04:51,805	00:04:55,023	$How many of your brothers$do you think you can trust?	5
22	00:04:55,108	00:04:56,724	$Trust?	5
23	00:04:59,946	00:05:01,196	$The men in this room.	5
24	00:05:02,532	00:05:05,150	$Davos:$Does the wolf know you?	6
25	00:05:05,235	00:05:07,235	$We need all the help we can get.	6
26	00:05:10,157	00:05:12,407	$<i>(knocking on door)</i>	6
27	00:05:13,743	00:05:15,577	$Melisandre:$<i>Ser Davos.</i>	6
28	00:05:38,852	00:05:40,935	$<i>(door closes)</i>	6
29	00:05:57,087	00:06:00,455	$Melisandre:$<i>I saw him in the flames</i>	7
30	00:06:00,590	00:06:02,707	$fighting at Winterfell.	7
31	00:06:06,713	00:06:08,880	$I can't speak for the flames...	7
32	00:06:10,800	00:06:12,600	$but he's gone.	7
33	00:06:26,149	00:06:28,900	$(men shouting)	7
34	00:06:32,789	00:06:34,489	$Man:$<i>He was our Lord Commander.</i>	7
35	00:06:34,574	00:06:36,407	$Man #2:$<i>He never should have been!</i>	7
36	00:06:36,493	00:06:37,742	$(pounds)	7
37	00:06:40,046	00:06:42,086	$- You all know why you're here.$- (shouting stops)	8
38	00:06:42,132	00:06:45,250	$<i>(men murmuring)</i>	8
39	00:06:45,335	00:06:47,885	$Jon Snow is dead.	8
40	00:06:48,004	00:06:49,170	$Who killed him?	8
41	00:06:50,423	00:06:52,140	$- I did.$- (shouting resumes)	8
42	00:06:52,225	00:06:54,509	$And Bowen Marsh and Othell Yarwyck	8
43	00:06:54,594	00:06:56,894	$and the other officers$in this castle.	8
44	00:06:57,013	00:06:58,680	$- Murderers!$- Traitors!	8
45	00:06:58,765	00:07:02,433	$- <i>(men shouting)</i>$- (pounds on table)	8
46	00:07:02,519	00:07:04,736	$- You're right!$- (shouting stops)	8
47	00:07:04,854	00:07:07,071	$<i>We've committed treason, all of us.</i>	8
48	00:07:07,190	00:07:10,275	$Jon Snow was my Lord Commander.	8
49	00:07:11,444	00:07:13,077	$I had no love for him.	8
50	00:07:13,196	00:07:15,530	$That was no secret.	8
51	00:07:15,665	00:07:19,867	$But I never once disobeyed an order.	8
52	00:07:19,953	00:07:22,370	$Loyalty is the foundation	8
53	00:07:22,505	00:07:24,505	$on which the Night's Watch is built.	8
54	00:07:24,591	00:07:26,958	$And the Watch means everything to me.	8
55	00:07:27,043	00:07:29,010	$I have given my life,	8
56	00:07:29,095	00:07:33,214	$we have all given our lives$to the Night's Watch.	8
57	00:07:35,602	00:07:40,104	$Jon Snow was going to$destroy the Night's Watch.	9
58	00:07:40,223	00:07:42,807	$<i>He let the wildlings$through our gates</i>	9
59	00:07:42,892	00:07:46,361	$as no Lord Commander$has ever done before.	9
60	00:07:46,446	00:07:51,232	$He gave them the very land$on which they reaved	9
61	00:07:51,318	00:07:55,069	$and raped and murdered.	9
