frameNo	startTime	endTime	dialogue	chunk
2	00:02:30,278	00:02:33,179	$Despite appearances, I think you'll$find the city's on the rise.	2
3	00:02:36,251	00:02:38,351	$Perhaps we should take shelter.	2
4	00:02:39,621	00:02:41,654	$The city's on the rise?	2
5	00:02:41,756	00:02:43,523	$Meereen is strong.	2
6	00:02:43,625	00:02:45,492	$Commerce has returned to the markets.	2
7	00:02:45,593	00:02:48,128	$The people are behind you.	2
8	00:02:50,065	00:02:51,931	$Well, not all the people, of course.	2
9	00:02:52,034	00:02:55,101	$No ruler that ever lived had$the support of all the people.	3
10	00:02:55,203	00:02:59,539	$But the rebirth of Meereen is$the cause of this violence.	3
11	00:03:00,808	00:03:03,876	$The Masters cannot let Meereen succeed.	3
12	00:03:03,978	00:03:07,180	$Because if Meereen succeeds,$a city without slavery,	3
13	00:03:07,282	00:03:10,483	$a city without Masters...	3
14	00:03:10,585	00:03:13,253	$...it proves that no one needs a Master.	3
15	00:03:16,124	00:03:18,091	$Good.	3
16	00:03:18,193	00:03:20,060	$Shall we begin?	3
17	00:03:21,596	00:03:23,363	$Do we have a plan?	3
18	00:03:23,465	00:03:25,432	$I will crucify the Masters.	3
19	00:03:25,534	00:03:27,300	$I will set their fleets afire,	3
20	00:03:27,402	00:03:29,202	$kill every last one of their soldiers,	3
21	00:03:29,304	00:03:31,404	$and return their cities to the dirt.	3
22	00:03:31,506	00:03:33,873	$That is my plan.	3
23	00:03:35,310	00:03:37,710	$You don't approve?	3
24	00:03:37,812	00:03:40,146	$You once told me you knew$what your father was.	3
25	00:03:40,248	00:03:42,882	$Did you know his plans$for King's Landing	3
26	00:03:42,984	00:03:45,351	$when the Lannister armies$were at his gates?	3
27	00:03:48,256	00:03:50,656	$Probably not.	4
28	00:03:50,758	00:03:53,093	$Well, he told my brother$and Jaime told me.	4
29	00:03:53,195	00:03:56,829	$He had caches of wildfire$hidden under the Red Keep,	4
30	00:03:56,931	00:03:59,432	$the Guildhalls, the Sept of Baelor,	4
31	00:03:59,534	00:04:01,534	$all the major thoroughfares.	4
32	00:04:03,271	00:04:05,738	$He would have burned every$one of his citizens.	4
33	00:04:05,840	00:04:08,174	$The loyal ones and the traitors.	4
34	00:04:08,276	00:04:10,577	$Every man, woman, and child.	4
35	00:04:10,678	00:04:12,112	$That's why Jaime killed him.	4
36	00:04:12,214	00:04:13,480	$This is entirely different.	4
37	00:04:13,582	00:04:15,615	$You're talking about destroying cities.	4
38	00:04:15,717	00:04:17,817	$It's not entirely different.	4
39	00:04:21,623	00:04:25,158	$I'd like to suggest an$alternate approach.	4
40	00:04:38,740	00:04:41,073	$Once before, I offered you peace.	4
41	00:04:41,176	00:04:43,543	$If you had not been so arrogant,	4
42	00:04:43,645	00:04:47,580	$you could have returned to your$homeland with a fleet of ships.	5
43	00:04:49,618	00:04:54,262	$Instead, you will flee$Slaver's Bay on foot	5
44	00:04:54,263	00:04:55,955	$like the beggar queen you are.	5
45	00:04:56,057	00:04:59,125	$We are here to discuss$terms of surrender,	5
46	00:04:59,227	00:05:01,594	$not to trade insults.	5
47	00:05:01,696	00:05:03,596	$The terms are simple.	5
48	00:05:03,698	00:05:08,835	$You and your foreign friends will abandon$the Great Pyramid and the city of Meereen.	5
49	00:05:08,836	00:05:11,337	$The Unsullied you stole$from Kraznys mo Nakloz	5
50	00:05:11,439	00:05:14,340	$will remain to be sold again$to the highest bidder.	5
51	00:05:14,442	00:05:17,477	$The translator you stole from$Kraznys mo Nakloz will remain	5
52	00:05:17,579	00:05:19,912	$to be sold again to the highest bidder.	5
53	00:05:20,014	00:05:23,883	$The dragons beneath the Great$Pyramid will be slaughtered.	5
54	00:05:25,420	00:05:27,853	$We obviously didn't communicate clearly.	5
55	00:05:27,955	00:05:30,823	$We're here to discuss$your surrender, not mine.	5
56	00:05:34,429	00:05:36,663	$I imagine it's difficult	5
57	00:05:36,764	00:05:39,332	$adjusting to the new reality.	5
58	00:05:41,736	00:05:44,970	$Your reign is over.	6
59	00:05:47,141	00:05:50,376	$My reign has just begun.	6
60	00:08:28,370	00:08:29,569	$Dracarys.	8
61	00:09:13,528	00:09:15,181	$Your men have a choice:	9
62	00:09:17,035	00:09:23,183	$fight and die for masters who would$never fight and die for you,	9
63	00:09:23,184	00:09:26,968	$or go home to your families.	9
64	00:09:33,167	00:09:35,334	$Thank you for the armada.	10
65	00:09:35,437	00:09:37,202	$Our queen does love ships.	10
66	00:09:37,305	00:09:42,341	$Now, last time we spoke, we made a pact.	10
67	00:09:42,444	00:09:44,544	$You violated that pact.	10
68	00:09:44,646	00:09:46,312	$You declared war upon us.	10
69	00:09:46,414	00:09:48,681	$Though our queen does$have a forgiving nature,	10
70	00:09:48,783	00:09:51,984	$this cannot be forgiven.	10
71	00:09:52,086	00:09:54,954	$Our queen insists that$one of you must die	10
72	00:09:55,056	00:09:57,457	$as punishment for your crimes.	10
73	00:09:58,927	00:10:02,061	$It always seems a bit$abstract, doesn't it,	10
74	00:10:02,163	00:10:03,930	$other people dying?	10
75	00:10:05,733	00:10:07,800	$Him. He should die.	10
76	00:10:07,902	00:10:10,169	$Yes, him. He's not one of us.	10
77	00:10:10,271	00:10:11,838	$He's an outsider, a lowborn.	10
78	00:10:11,940	00:10:13,940	$He does not speak for us.	10
79	00:10:17,178	00:10:19,078	$Please.	10
80	00:10:20,715	00:10:22,281	$Please.	10
81	00:10:41,002	00:10:43,302	$Tell your people what happened here.	11
82	00:10:44,839	00:10:48,140	$Tell them you live by the$grace of Her Majesty.	11
83	00:10:48,242	00:10:50,376	$When they come forward with$notions of retribution	11
84	00:10:50,478	00:10:54,881	$or ideas about returning the slave$cities to their former glory,	11
85	00:10:54,983	00:10:57,082	$remind them what happened	11
86	00:10:57,184	00:11:00,820	$when Daenerys Stormborn and$her dragons came to Meereen.	11
87	00:11:35,857	00:11:38,624	$You don't have to be here.	12
88	00:11:38,726	00:11:40,760	$Yes, I do.	12
89	00:12:05,553	00:12:07,453	$My beloved wife.	12
90	00:12:09,857	00:12:11,891	$I've missed you terribly.	12
91	00:12:15,296	00:12:18,464	$Thank you for returning$Lady Bolton safely.	12
92	00:12:18,566	00:12:21,266	$Now, dismount and kneel before me,	12
93	00:12:21,368	00:12:26,473	$surrender your army and proclaim me the true$Lord of Winterfell and Warden of the North.	13
94	00:12:26,474	00:12:28,440	$I will pardon you for$deserting the Night's Watch.	13
95	00:12:28,542	00:12:32,544	$I will pardon these treasonous$lords for betraying my house.	13
96	00:12:35,717	00:12:38,150	$Come, bastard,	13
97	00:12:38,252	00:12:41,053	$you don't have the men, you$don't have the horses,	13
98	00:12:41,155	00:12:43,355	$and you don't have Winterfell.	13
99	00:12:43,457	00:12:47,093	$Why lead those poor$souls into slaughter?	13
100	00:12:47,194	00:12:49,895	$There's no need for a battle.	13
101	00:12:49,998	00:12:52,932	$Get off your horse and kneel.	13
102	00:12:54,836	00:12:56,636	$I'm a man of mercy.	13
103	00:13:01,676	00:13:03,342	$You're right.	13
104	00:13:03,444	00:13:05,577	$There's no need for a battle.	13
105	00:13:06,981	00:13:09,749	$Thousands of men don't need to die.	13
106	00:13:11,786	00:13:13,452	$Only one of us.	13
107	00:13:15,890	00:13:17,823	$Let's end this the old way.	13
108	00:13:17,925	00:13:19,992	$You against me.	13
109	00:13:32,006	00:13:35,274	$I keep hearing stories$about you, bastard.	14
110	00:13:35,376	00:13:37,509	$The way people in the$North talk about you,	14
111	00:13:37,611	00:13:39,879	$you're the greatest$swordsman who ever walked.	14
112	00:13:41,082	00:13:43,382	$Maybe you are that good.	14
113	00:13:43,484	00:13:45,584	$Maybe not.	14
114	00:13:45,687	00:13:48,220	$I don't know if I'd beat you.	14
115	00:13:48,322	00:13:51,490	$But I know that my army will beat yours.	14
116	00:13:52,178	00:13:53,693	$I have 6,000 men.	14
117	00:13:53,795	00:13:57,782	$You have, what, half that?	14
118	00:13:57,783	00:13:58,664	$Not even?	14
119	00:13:58,766	00:14:00,800	$Aye, you have the numbers.	14
120	00:14:02,236	00:14:03,736	$Will your men want to fight for you	14
121	00:14:03,838	00:14:06,739	$when they hear you$wouldn't fight for them?	14
122	00:14:14,849	00:14:17,416	$He's good. Very good.	14
123	00:14:19,053	00:14:21,453	$Tell me, will you let$your little brother die	15
124	00:14:21,555	00:14:23,756	$because you're too proud to surrender?	15
125	00:14:23,858	00:14:25,825	$How do we know you have him?	15
126	00:14:51,352	00:14:52,918	$Now, if you want to save...	15
127	00:14:53,020	00:14:55,587	$You're going to die$tomorrow, Lord Bolton.	15
128	00:14:58,793	00:15:00,592	$Sleep well.	15
129	00:15:08,836	00:15:11,703	$She's a fine woman, your sister.	15
130	00:15:12,307	00:15:14,874	$I look forward to having$her back in my bed.	15
131	00:15:18,345	00:15:20,813	$And you're all fine-looking men.	16
132	00:15:20,915	00:15:23,048	$My dogs are desperate to meet you.	16
133	00:15:23,151	00:15:26,319	$I haven't fed them for$seven days. They're ravenous.	16
134	00:15:26,320	00:15:29,321	$I wonder which parts they'll try first.	16
135	00:15:29,423	00:15:31,824	$Your eyes?	16
136	00:15:31,926	00:15:33,392	$Your balls?	16
137	00:15:35,396	00:15:37,997	$We'll find out soon enough.	16
138	00:15:38,876	00:15:42,434	$In the morning, then, bastard.	16
139	00:15:59,553	00:16:01,620	$If he was smart, he'd stay inside	16
140	00:16:01,722	00:16:03,488	$the walls of Winterfell and wait us out.	16
141	00:16:03,590	00:16:06,525	$That's not his way. He knows$the North is watching.	16
142	00:16:06,627	00:16:09,461	$If the other houses sense$weakness on his part,	16
143	00:16:09,563	00:16:11,297	$they'll stop fearing him.	16
144	00:16:11,398	00:16:14,066	$He can't have that. Fear is his power.	17
145	00:16:14,168	00:16:16,735	$It's his weakness, too. His men$don't want to fight for him.	17
146	00:16:16,838	00:16:19,438	$They're forced to fight for him.$If they feel the tide turning...	17
147	00:16:19,540	00:16:21,874	$It's not his men that worry me.	17
148	00:16:21,976	00:16:23,309	$It's his horses.	17
149	00:16:23,410	00:16:25,577	$I know what mounted$knights can do to us.	17
150	00:16:25,679	00:16:28,780	$You and Stannis cut through$us like piss through snow.	17
151	00:16:28,883	00:16:31,116	$We're digging trenches$all along our flanks.	17
152	00:16:31,219	00:16:33,452	$They won't be able to hit us$the way that Stannis hit you,	17
153	00:16:33,554	00:16:34,854	$in a double envelopment.	17
154	00:16:38,893	00:16:40,726	$A pincer move.	17
155	00:16:45,666	00:16:48,133	$They won't be able to$hit us from the sides.	17
156	00:16:48,236	00:16:50,135	$Good.	17
157	00:16:52,539	00:16:55,374	$It's crucial that we$let them charge at us.	17
158	00:16:56,777	00:16:59,378	$They've got the numbers,$we need the patience.	17
159	00:17:02,216	00:17:05,217	$If we let him buckle our$center, he'll pursue.	17
160	00:17:06,050	00:17:08,820	$Then we'll have him$surrounded on three sides.	17
161	00:17:08,923	00:17:12,691	$Did you really think that cunt$would fight you man-to-man?	18
162	00:17:14,028	00:17:15,327	$No.	18
163	00:17:15,429	00:17:17,329	$But I wanted to make him angry.	18
164	00:17:19,934	00:17:22,368	$I want him coming at us full tilt.	18
165	00:17:24,205	00:17:26,105	$We should all get some sleep.	18
166	00:17:26,207	00:17:30,042	$Rest, Jon Snow. We need$you sharp tomorrow.	18
167	00:17:40,388	00:17:42,854	$So you've met the enemy,	18
168	00:17:42,957	00:17:46,358	$drawn up your battle plans.	18
169	00:17:46,460	00:17:49,395	$Aye, for what they're worth.	18
170	00:17:49,496	00:17:53,365	$You've known him for the space$of a single conversation,	18
171	00:17:53,467	00:17:55,267	$you and your trusted advisors,	18
172	00:17:55,369	00:17:56,936	$and you sit around making your plans	18
173	00:17:57,038	00:17:59,905	$on how to defeat a man you don't know.	18
174	00:18:00,007	00:18:01,540	$I lived with him.	18
175	00:18:01,642	00:18:03,242	$I know the way his mind works.	18
176	00:18:03,344	00:18:06,445	$I know how he likes to hurt people.	18
177	00:18:06,547	00:18:10,782	$Did it ever once occur to you$that I might have some insight?	19
178	00:18:13,120	00:18:14,886	$You're right.	19
179	00:18:15,818	00:18:17,656	$You think he's going to$fall into your trap.	19
180	00:18:17,758	00:18:20,025	$He won't. He's the one who lays traps.	19
181	00:18:20,127	00:18:22,928	$- He's overconfident.$- He plays with people.	19
182	00:18:23,030	00:18:25,664	$He's far better at it than you.$He's been doing it all his life.	19
183	00:18:25,766	00:18:28,567	$Aye, and what have I been doing all$my life? Playing with broomsticks?	19
184	00:18:28,669	00:18:32,471	$I fought beyond the Wall against$worse than Ramsay Bolton.	19
185	00:18:32,573	00:18:35,341	$I've defended the Wall from$worse than Ramsay Bolton.	19
186	00:18:35,443	00:18:37,977	$You don't know him.	19
187	00:18:39,246	00:18:41,213	$All right, tell me.	19
188	00:18:41,315	00:18:44,149	$What should we do? How$do we get Rickon back?	19
189	00:18:46,087	00:18:47,853	$We'll never get him back.	19
190	00:18:49,390	00:18:52,291	$Rickon is Ned Stark's trueborn son,	19
191	00:18:52,393	00:18:54,093	$which makes him a greater$threat to Ramsay	19
192	00:18:54,195	00:18:57,262	$than you, a bastard, or me, a girl.	19
193	00:18:57,365	00:19:00,332	$As long as he lives, Ramsay's claim$to Winterfell will be contested,	19
194	00:19:00,434	00:19:03,902	$which means he won't live long.	19
195	00:19:04,005	00:19:06,372	$We can't give up on our brother.	20
196	00:19:06,474	00:19:09,574	$Listen to me, please. He$wants you to make a mistake.	20
197	00:19:09,676	00:19:12,711	$Of course he does. What$should I do differently?	20
198	00:19:12,813	00:19:14,913	$I don't know! I don't know$anything about battles.	20
199	00:19:15,016	00:19:18,384	$Just don't do what he wants you to do.	20
200	00:19:18,486	00:19:19,718	$Aye, that's good advice.	20
201	00:19:19,820	00:19:21,186	$You think that's obvious?	20
202	00:19:21,288	00:19:22,654	$Well, it is a bit obvious.	20
203	00:19:22,756	00:19:24,023	$If you had asked for my advice earlier,	20
204	00:19:24,125	00:19:25,790	$I would have told you not$to attack Winterfell	20
205	00:19:25,893	00:19:28,193	$until we had a larger force,$or is that obvious, too?	20
206	00:19:28,295	00:19:30,595	$When will we have a larger force?!	20
207	00:19:30,697	00:19:32,731	$We've pleaded with every$house that'll have us.	20
208	00:19:32,833	00:19:34,099	$The Blackfish can't help us.	20
209	00:19:34,201	00:19:36,135	$We're lucky to have this many men.	20
210	00:19:36,237	00:19:39,738	$- It's not enough! - No, it's$not enough. It's what we have!	20
