frameNo	startTime	endTime	dialogue	chunk
1	00:00:00,810	00:00:04,533	$When I had refused the throne,$Aerys reigned,	0
2	00:00:04,653	00:00:07,087	$whom they called the Mad King.	0
3	00:00:07,207	00:00:09,283	$You're Aemon Targaryen.	0
4	00:00:09,403	00:00:12,305	$- What happened to your face?$- Greyscale.	0
5	00:00:12,425	00:00:14,916	$Everyone advised me to send$you to the ruins of Valyria,	0
6	00:00:15,036	00:00:17,270	$to live out your short$life with the Stone Men.	0
7	00:00:17,390	00:00:21,690	$Two of my sisters had it. They were$covered with it. They acted like animals.	0
8	00:00:23,640	00:00:25,763	$Hide! Hide!	0
9	00:00:29,841	00:00:30,942	$Put him in chains.	0
10	00:00:31,062	00:00:34,758	$You want me alive so you can torture me?	0
11	00:00:35,315	00:00:36,553	$Sansa Stark?	0
12	00:00:36,673	00:00:41,349	$I saw her riding on the East Road$with Littlefinger. We'll follow them.	0
13	00:00:41,469	00:00:45,259	$- May I introduce my son, Ramsay Bolton.$- My Lady.	0
14	00:00:46,597	00:00:50,613	$Welcome home, Lady Stark.$The North remembers.	0
15	00:00:52,713	00:00:54,873	$You let a half-wit escape with a cripple,	0
16	00:00:54,993	00:00:56,911	$and Rickon too, the little one.	0
17	00:00:57,031	00:00:59,984	$I told you what would happen$if you served me loyally.	0
18	00:01:00,104	00:01:02,266	$And what would happen if you did not.	0
19	00:01:09,598	00:01:11,893	$- Who are you?$- Your captor.	0
20	00:01:12,349	00:01:14,194	$You said you're taking me to the queen.	0
21	00:01:14,314	00:01:15,777	$Queen Daenerys Targaryen.	0
22	00:01:15,998	00:01:19,560	$You're the Mother of Dragons.$Show your strength.	0
23	00:01:19,680	00:01:24,184	$No one's seen Drogon in weeks. For all I$know, he's flown halfway across the world.	0
24	00:01:24,304	00:01:27,287	$The Wise Masters ask for the reopening$of the fighting pits.	0
25	00:01:27,407	00:01:29,326	$Where slaves fought slaves to the death?	0
26	00:01:29,446	00:01:33,524	$Opening them would show the people of$Meereen that you respect their traditions.	0
27	00:01:33,644	00:01:37,601	$Traditions are the only thing$that will hold this city together.	0
28	00:03:26,838	00:03:37,109	"$<font color=""#ec14bd"">Sync & corrections by honeybunny</font>$<font color=""#ec14bd"">www.addic7ed.com</font>"	1
29	00:04:20,652	00:04:23,020	$I'm so sorry, my queen.	2
30	00:04:23,071	00:04:24,905	$He was a good man.	2
31	00:04:24,940	00:04:28,325	"$""Barristan the Bold""$they called him."	2
32	00:04:28,360	00:04:31,397	$He crossed a continent$to serve me.	2
33	00:04:31,431	00:04:33,933	$He was a loyal friend.	2
34	00:04:35,685	00:04:38,104	$And he died in an alley,	2
35	00:04:38,155	00:04:41,190	$butchered by cowards$who hide behind masks.	2
36	00:04:43,827	00:04:46,445	$We could pull back$to the pyramid district,	2
37	00:04:46,447	00:04:49,782	$<i>secure it, and use it as a$base from which to operate.</i>	2
38	00:04:49,784	00:04:52,952	$Then we clean the city out,	2
39	00:04:53,003	00:04:56,856	$<i>neighborhood by neighborhood,$street by street,</i>	2
40	00:04:56,890	00:04:59,158	$until the rats$have nowhere left to hide.	2
41	00:05:03,013	00:05:05,631	$I prefer$your earlier suggestion.	2
42	00:05:05,633	00:05:09,468	$Round up the leaders of each of Meereen's$great families and bring them to me.	2
43	00:05:10,971	00:05:14,723	$But I'm the leader of my family.	2
44	00:05:16,861	00:05:18,282	$No, Your Grace!	2
45	00:05:18,728	00:05:21,363	$I had nothing to do with this.	2
46	00:05:21,398	00:05:23,315	$Your Grace!	2
47	00:05:53,680	00:05:55,264	$_	2
48	00:05:56,260	00:05:59,749	$_	2
49	00:06:12,365	00:06:13,782	$_	3
50	00:06:25,902	00:06:27,559	$_	3
51	00:06:28,282	00:06:29,678	$_	3
52	00:06:30,762	00:06:32,245	$_	3
53	00:06:33,852	00:06:34,725	$_	3
54	00:06:37,648	00:06:39,879	$_	3
55	00:06:41,854	00:06:44,035	$_	3
56	00:06:47,462	00:06:48,658	$_	3
