frameNo	startTime	endTime	dialogue
1	00:00:00,646	00:00:02,962	$He's attacked one of my$brothers and abducted the other.
2	00:00:03,366	00:00:04,961	$Tell your wife to return
3	00:00:04,986	00:00:07,785	$that little shit of an Imp$to King's Landing.
4	00:00:08,076	00:00:09,577	$What about$Jaime Lannister?
5	00:00:09,611	00:00:13,116	$I'm half a kingdom in debt$to his bloody father.
6	00:00:13,150	00:00:14,845	$We'll talk when I return$from the hunt.
7	00:00:14,845	00:00:16,060	$The hunt?
8	00:00:16,085	00:00:18,105	$<i>You'll have to sit on</i>$<i>the throne while I'm away.</i>
9	00:00:18,108	00:00:20,093	$You are accused of hiring
10	00:00:20,095	00:00:22,797	$a man to slay my son$Bran in his bed.
11	00:00:22,897	00:00:24,899	$I demand$a trial by combat.
12	00:00:24,934	00:00:27,803	$- You have that right.$- Do I have a volunteer?
13	00:00:27,837	00:00:30,774	$I'll stand for the dwarf.
14	00:00:30,808	00:00:34,111	$Grand Maester Pycelle.$Send a raven to Casterly Rock.
15	00:00:34,145	00:00:36,982	$Inform Tywin Lannister that$he has been summoned to court
16	00:00:37,016	00:00:39,418	$<i>to answer for the crimes</i>$<i>of Gregor Clegane</i>
17	00:00:39,453	00:00:41,521	$or be branded an enemy$of the Crown
18	00:00:41,556	00:00:43,556	$<i>and a traitor to the realm.</i>
19	00:00:43,590	00:00:46,025	$Fight!
20	00:00:53,565	00:00:55,365	$I'm sending you both$back to Winterfell.
21	00:00:55,400	00:00:57,600	$What? I'm supposed to marry$Prince Joffrey.
22	00:00:57,634	00:01:00,202	$<i>He'll be the greatest king</i>$<i>that ever was, a golden lion.</i>
23	00:01:00,236	00:01:03,171	$And I'll give him sons$with beautiful blond hair.
24	00:01:03,205	00:01:05,739	$"Lord Orys Baratheon,$black of hair."
25	00:01:05,774	00:01:07,941	$"Axel Baratheon,$black of hair."
26	00:01:07,976	00:01:10,377	$"Robert Baratheon,$black of hair."
27	00:01:10,412	00:01:13,915	$"Joffrey Baratheon,$golden-haired."
28	00:01:13,949	00:01:17,253	$I want what I came for.$I want the crown he promised me.
29	00:01:19,022	00:01:22,159	$- No, Dany, please!$- A crown for a king.
30	00:01:25,364	00:01:27,831	$Fire cannot kill a dragon.
31	00:01:47,135	00:01:51,135	$<font color=#00FF00>? Game of Thrones 1x07 ?</font>$<font color=#00FFFF>You Win or You Die</font>$Original Air Date on May 29, 2011
32	00:01:51,160	00:01:55,160	$== sync, corrected by <font color="#00ff00">elderman</font> ==
33	00:03:32,722	00:03:34,856	$"Summoned to court$to answer for the crimes
34	00:03:34,891	00:03:36,725	$of your bannerman$Gregor Clegane,
35	00:03:36,759	00:03:38,827	$the Mountain"...
36	00:03:38,862	00:03:41,030	$Uh, "arrive$within the fortnight
37	00:03:41,064	00:03:43,633	$or be branded an enemy$of the Crown."
38	00:03:43,667	00:03:46,236	$Poor Ned Stark...
39	00:03:46,270	00:03:49,339	$Brave man,$terrible judgment.
40	00:03:53,912	00:03:56,447	$Attacking him was stupid.
41	00:04:04,456	00:04:06,923	$Lannisters
42	00:04:06,958	00:04:08,726	$don't act like fools.
43	00:04:14,698	00:04:16,699	$Are you gonna say$something clever?
44	00:04:18,401	00:04:20,636	$Go on,$say something clever.
45	00:04:23,739	00:04:25,706	$Catelyn Stark$took my brother.
46	00:04:29,677	00:04:32,078	$Why is he still alive?
47	00:04:32,113	00:04:34,981	$- Tyrion?$- Ned Stark.
48	00:04:35,015	00:04:36,683	$One of our men$interfered,
49	00:04:36,717	00:04:41,120	$<i>speared him through the leg</i>$<i>before I could finish him.</i>
50	00:04:41,154	00:04:43,455	$Why is he still alive?
51	00:04:44,691	00:04:49,161	$- It wouldn't have been clean.$- Clean.
52	00:04:49,196	00:04:51,693	$You spend too much time$worrying about
53	00:04:51,718	00:04:53,146	$what other people think of you.
54	00:04:53,147	00:04:55,569	$I could care less$what anyone thinks of me.
55	00:04:55,604	00:04:58,840	$<i>That's</i> what you want$people to think of you.
56	00:04:58,874	00:05:00,842	$It's the truth.
57	00:05:00,876	00:05:02,763	$When you hear them$whispering
58	00:05:02,788	00:05:03,988	$"Kingslayer"$behind your back--
59	00:05:04,013	00:05:06,182	$<i>doesn't it bother you?</i>
60	00:05:08,118	00:05:10,452	$Of course$it bothers me.
61	00:05:10,487	00:05:12,454	$The lion doesn't$concern himself
62	00:05:12,488	00:05:14,622	$with the opinions$of the sheep.
63	00:05:17,592	00:05:19,926	$I suppose I should be grateful$that your vanity
64	00:05:19,961	00:05:22,962	$got in the way$of your recklessness.
65	00:05:24,631	00:05:27,099	$I'm giving you$half of our forces--
66	00:05:27,134	00:05:29,436	$30,000 men.
67	00:05:29,470	00:05:32,272	$You will bring them to$Catelyn Stark's girlhood home
68	00:05:32,306	00:05:35,109	$and remind her$that Lannisters
69	00:05:35,143	00:05:36,977	$pay their debts.
70	00:05:37,012	00:05:41,282	$I didn't realize you placed such$a high value on my brother's life.
71	00:05:41,316	00:05:43,652	$He's a Lannister.
72	00:05:43,686	00:05:46,855	$He might be the lowest of the$Lannisters, but he's one of us.
73	00:05:46,889	00:05:49,524	$And every day$that he remains a prisoner,
74	00:05:49,558	00:05:52,393	$the less our name$commands respect.
75	00:05:52,428	00:05:55,562	$So the lion does concern himself$with the opinions of--
76	00:05:55,597	00:05:57,598	$No, it's not an opinion.$It's a fact.
77	00:06:00,000	00:06:02,635	$If another House$can seize one of our own
78	00:06:02,669	00:06:05,471	$and hold him captive$with impunity,
79	00:06:05,505	00:06:07,673	$we are no longer$a House to be feared.
80	00:06:12,246	00:06:14,314	$Your mother's dead.
81	00:06:14,348	00:06:16,517	$Before long I'll be dead.
82	00:06:16,551	00:06:18,385	$And you
83	00:06:18,420	00:06:20,688	$and your brother$and your sister
84	00:06:20,722	00:06:23,625	$and all of her children.$All of us dead;
85	00:06:23,659	00:06:26,528	$all of us rotting$in the ground.
86	00:06:26,562	00:06:30,031	$It's the family name$that lives on.
87	00:06:30,066	00:06:32,568	$It's all that lives on.
88	00:06:32,602	00:06:36,038	$Not your personal glory,$not your honor,
89	00:06:36,072	00:06:38,707	$but family.
90	00:06:38,742	00:06:41,143	$Do you understand?
91	00:06:43,246	00:06:45,114	$Hmm.
92	00:06:52,390	00:06:55,292	$You're blessed with abilities$that few men possess.
93	00:06:55,327	00:06:59,397	$You are blessed to belong to the$most powerful family in the kingdoms.
94	00:06:59,432	00:07:02,134	$And you are still$blessed with youth.
95	00:07:03,469	00:07:06,605	$<i>And what have you done</i>$<i>with these blessings, huh?</i>
96	00:07:06,640	00:07:10,142	$You've served as a glorified$bodyguard for two kings--
97	00:07:10,176	00:07:14,112	$<i>one a madman,</i>$<i>the other a drunk.</i>
98	00:07:18,983	00:07:22,719	$The future of our family will be$determined in these next few months.
99	00:07:22,754	00:07:26,389	$We could establish a dynasty$that will last a thousand years.
100	00:07:26,424	00:07:30,494	$Or we could collapse into nothing,$as the Targaryens did.
101	00:07:32,997	00:07:37,234	$I need you to become the man$you were always meant to be.
102	00:07:38,169	00:07:41,038	$Not next year.$Not tomorrow.
103	00:07:41,072	00:07:43,207	$Now.
104	00:08:12,101	00:08:15,170	$You're in pain.
105	00:08:20,143	00:08:22,145	$I've had worse, My Lady.
106	00:08:22,180	00:08:25,549	$Perhaps it's time$to go home.
107	00:08:25,583	00:08:27,584	$The South doesn't seem$to agree with you.
108	00:08:27,619	00:08:29,987	$I know the truth$Jon Arryn died for.
109	00:08:30,021	00:08:32,923	$Do you, Lord Stark?
110	00:08:32,958	00:08:36,660	$Is that why you called me here,$to pose me riddles?
111	00:08:37,963	00:08:40,231	$Has he done this before?
112	00:08:41,533	00:08:43,767	$Jaime would have killed him.
113	00:08:43,802	00:08:46,703	$My brother is worth$a thousand of your friend.
114	00:08:46,738	00:08:47,971	$Your brother...
115	00:08:48,005	00:08:49,840	$Or your lover?
116	00:08:54,612	00:08:57,647	$The Targaryens wed brothers$and sisters for 300 years
117	00:08:57,682	00:08:59,616	$to keep bloodlines pure.
118	00:08:59,650	00:09:02,085	$Jaime and I are more$than brother and sister.
119	00:09:02,119	00:09:04,220	$We shared a womb.
120	00:09:04,255	00:09:07,323	$We came into this world together.$We belong together.
121	00:09:08,225	00:09:10,293	$My son saw you with him.
122	00:09:16,502	00:09:18,136	$Do you love your children?
123	00:09:18,170	00:09:20,171	$- With all my heart.$- No more than I love mine.
124	00:09:20,206	00:09:23,441	$- And they are all Jaime's.$- Thank the Gods.
125	00:09:23,475	00:09:25,644	$In the rare event that$Robert leaves his whores
126	00:09:25,678	00:09:27,408	$for long enough to stumble$drunk into my bed,
127	00:09:27,433	00:09:28,780	$I finish him off in other ways.
128	00:09:28,981	00:09:31,883	$- In the morning, he doesn't remember.$- You've always hated him.
129	00:09:31,917	00:09:35,186	$Hated him?$I worshipped him.
130	00:09:35,220	00:09:37,780	$Every girl in the$Seven Kingdoms dreamed of him,
131	00:09:37,805	00:09:39,211	$but he was mine by oath.
132	00:09:39,458	00:09:41,392	$And when I finally saw him
133	00:09:41,426	00:09:43,393	$on our wedding day$in the Sept of Baelor,
134	00:09:43,428	00:09:46,029	$lean and fierce$and black-bearded,
135	00:09:46,063	00:09:48,265	$it was the happiest moment$of my life.
136	00:09:49,768	00:09:52,336	$Then that night he crawled on$top of me, stinking of wine
137	00:09:52,370	00:09:55,139	$and did what he did--$what little he could do--
138	00:09:57,042	00:09:59,378	$and whispered$in my ear, "Lyanna."
139	00:10:01,481	00:10:04,049	$Your sister was a corpse$and I was a living girl
140	00:10:04,084	00:10:06,552	$and he loved her$more than me.
141	00:10:08,488	00:10:11,490	$When the King returns from his$hunt, I'll tell him the truth.
142	00:10:11,524	00:10:14,592	$You must be gone by then--$you and your children.
143	00:10:14,626	00:10:17,762	$I will not have$their blood on my hands.
144	00:10:17,796	00:10:19,830	$Go as far away$as you can,
145	00:10:19,865	00:10:22,466	$with as many men$as you can.
146	00:10:22,500	00:10:24,868	$Because wherever you go,
147	00:10:24,902	00:10:27,270	$Robert's wrath$will follow you.
148	00:10:27,305	00:10:29,873	$And what of my wrath,$Lord Stark?
149	00:10:29,907	00:10:32,509	$You should have taken$the realm for yourself.
150	00:10:32,543	00:10:35,412	$Jaime told me about the day$King's Landing fell.
151	00:10:35,446	00:10:38,348	$He was sitting in the Iron Throne$and you made him give it up.
152	00:10:38,382	00:10:40,850	$All you needed to do$was climb the steps yourself.
153	00:10:40,885	00:10:43,653	$Such a sad mistake.
154	00:10:43,688	00:10:46,189	$I've made many mistakes$in my life,
155	00:10:46,223	00:10:48,925	$but that wasn't$one of them.
156	00:10:48,959	00:10:51,593	$Oh, but it was.
157	00:10:51,628	00:10:54,062	$When you play the Game$of Thrones, you win
158	00:10:54,097	00:10:56,364	$or you die.
159	00:10:56,398	00:10:58,499	$There is no middle ground.
160	00:11:05,106	00:11:08,608	$Come here.
161	00:11:32,136	00:11:36,005	$Oh yes, oh.
162	00:11:36,040	00:11:39,142	$<i>Oh yes yes yes.</i>
